SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
foam stress relaxatio,1-Compress,0.000,29.539,-0,-0.033
foam stress relaxatio,1-Compress,0.200,28.934,0.605,2.917
foam stress relaxatio,1-Compress,0.400,28.218,1.321,5.562
foam stress relaxatio,1-Compress,0.600,27.502,2.037,5.969
foam stress relaxatio,1-Compress,0.800,26.786,2.753,6.172
foam stress relaxatio,1-Compress,1.000,26.07,3.469,6.478
foam stress relaxatio,1-Compress,1.200,25.354,4.185,6.783
foam stress relaxatio,1-Compress,1.400,24.638,4.901,7.291
foam stress relaxatio,1-Compress,1.600,23.922,5.617,7.393
foam stress relaxatio,1-Compress,1.800,23.206,6.333,7.698
foam stress relaxatio,1-Compress,2.000,22.49,7.049,8.207
foam stress relaxatio,1-Compress,2.200,21.774,7.765,8.614
foam stress relaxatio,1-Compress,2.400,21.058,8.481,9.427
foam stress relaxatio,1-Compress,2.600,20.342,9.197,9.631
foam stress relaxatio,1-Compress,2.800,19.626,9.913,10.241
foam stress relaxatio,1-Compress,3.000,18.91,10.629,10.750
foam stress relaxatio,1-Compress,3.200,18.194,11.345,11.665
foam stress relaxatio,1-Compress,3.400,17.478,12.061,12.581
foam stress relaxatio,1-Compress,3.600,16.762,12.777,13.496
foam stress relaxatio,1-Compress,3.800,16.046,13.493,14.615
foam stress relaxatio,1-Compress,4.000,15.33,14.209,15.632
foam stress relaxatio,1-Compress,4.200,14.614,14.925,17.158
foam stress relaxatio,1-Compress,4.400,13.898,15.641,19.193
foam stress relaxatio,1-Compress,4.600,13.182,16.357,21.023
foam stress relaxatio,1-Compress,4.800,12.466,17.073,24.279
foam stress relaxatio,1-Compress,5.000,11.816,17.723,27.635
foam stress relaxatio,1-Hold,5.010,11.816,17.723,27.534
foam stress relaxatio,1-Hold,5.210,11.816,17.723,24.584
foam stress relaxatio,1-Hold,5.410,11.816,17.723,22.956
foam stress relaxatio,1-Hold,5.610,11.816,17.723,22.041
foam stress relaxatio,1-Hold,5.810,11.816,17.723,21.329
foam stress relaxatio,1-Hold,6.010,11.816,17.723,21.023
foam stress relaxatio,1-Hold,6.210,11.816,17.723,21.125
foam stress relaxatio,1-Hold,6.410,11.816,17.723,20.617
foam stress relaxatio,1-Hold,6.610,11.816,17.723,20.210
foam stress relaxatio,1-Hold,6.810,11.816,17.723,20.108
foam stress relaxatio,1-Hold,7.010,11.816,17.723,19.498
foam stress relaxatio,1-Hold,7.210,11.816,17.723,19.498
foam stress relaxatio,1-Hold,7.410,11.816,17.723,19.498
foam stress relaxatio,1-Hold,7.610,11.816,17.723,19.294
foam stress relaxatio,1-Hold,7.810,11.816,17.723,19.091
foam stress relaxatio,1-Hold,8.010,11.816,17.723,18.989
foam stress relaxatio,1-Hold,8.210,11.816,17.723,18.887
foam stress relaxatio,1-Hold,8.410,11.816,17.723,18.684
foam stress relaxatio,1-Hold,8.610,11.816,17.723,18.684
foam stress relaxatio,1-Hold,8.810,11.816,17.723,18.582
foam stress relaxatio,1-Hold,9.010,11.816,17.723,18.379
foam stress relaxatio,1-Hold,9.210,11.816,17.723,18.379
foam stress relaxatio,1-Hold,9.410,11.816,17.723,17.972
foam stress relaxatio,1-Hold,9.610,11.816,17.723,18.074
foam stress relaxatio,1-Hold,9.810,11.816,17.723,18.175
foam stress relaxatio,1-Hold,10.010,11.816,17.723,17.972
foam stress relaxatio,1-Hold,10.210,11.816,17.723,17.870
foam stress relaxatio,1-Hold,10.410,11.816,17.723,17.972
foam stress relaxatio,1-Hold,10.610,11.816,17.723,17.870
foam stress relaxatio,1-Hold,10.810,11.816,17.723,17.870
foam stress relaxatio,1-Hold,11.010,11.816,17.723,17.667
foam stress relaxatio,1-Hold,11.210,11.816,17.723,17.667
foam stress relaxatio,1-Hold,11.410,11.816,17.723,17.768
foam stress relaxatio,1-Hold,11.610,11.816,17.723,17.158
foam stress relaxatio,1-Hold,11.810,11.816,17.723,17.463
foam stress relaxatio,1-Hold,12.010,11.816,17.723,17.260
foam stress relaxatio,1-Hold,12.210,11.816,17.723,17.158
foam stress relaxatio,1-Hold,12.410,11.816,17.723,17.362
foam stress relaxatio,1-Hold,12.610,11.816,17.723,17.158
foam stress relaxatio,1-Hold,12.810,11.816,17.723,17.260
foam stress relaxatio,1-Hold,13.010,11.816,17.723,17.260
foam stress relaxatio,1-Hold,13.210,11.816,17.723,17.056
foam stress relaxatio,1-Hold,13.410,11.816,17.723,17.158
foam stress relaxatio,1-Hold,13.610,11.816,17.723,17.362
foam stress relaxatio,1-Hold,13.810,11.816,17.723,17.158
foam stress relaxatio,1-Hold,14.010,11.816,17.723,17.260
foam stress relaxatio,1-Hold,14.210,11.816,17.723,17.362
foam stress relaxatio,1-Hold,14.410,11.816,17.723,17.260
foam stress relaxatio,1-Hold,14.610,11.816,17.723,17.056
foam stress relaxatio,1-Hold,14.810,11.816,17.723,17.260
foam stress relaxatio,1-Hold,15.010,11.816,17.723,17.158
foam stress relaxatio,1-Hold,15.210,11.816,17.723,17.056
foam stress relaxatio,1-Hold,15.410,11.816,17.723,17.158
foam stress relaxatio,1-Hold,15.610,11.816,17.723,17.158
foam stress relaxatio,1-Hold,15.810,11.816,17.723,17.056
foam stress relaxatio,1-Hold,16.010,11.816,17.723,17.056
foam stress relaxatio,1-Hold,16.210,11.816,17.723,17.056
foam stress relaxatio,1-Hold,16.410,11.816,17.723,17.056
foam stress relaxatio,1-Hold,16.610,11.816,17.723,17.056
foam stress relaxatio,1-Hold,16.810,11.816,17.723,17.056
foam stress relaxatio,1-Hold,17.010,11.816,17.723,17.056
foam stress relaxatio,1-Hold,17.210,11.816,17.723,16.751
foam stress relaxatio,1-Hold,17.410,11.816,17.723,17.056
foam stress relaxatio,1-Hold,17.610,11.816,17.723,16.955
foam stress relaxatio,1-Hold,17.810,11.816,17.723,16.853
foam stress relaxatio,1-Hold,18.010,11.816,17.723,17.056
foam stress relaxatio,1-Hold,18.210,11.816,17.723,16.853
foam stress relaxatio,1-Hold,18.410,11.816,17.723,16.955
foam stress relaxatio,1-Hold,18.610,11.816,17.723,16.955
foam stress relaxatio,1-Hold,18.810,11.816,17.723,16.650
foam stress relaxatio,1-Hold,19.010,11.816,17.723,17.056
foam stress relaxatio,1-Hold,19.210,11.816,17.723,16.853
foam stress relaxatio,1-Hold,19.410,11.816,17.723,16.751
